City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nagorsk,59.3172,50.8078,262.32,95,70,3.35,RU,1674088703
84,ranong,9.9658,98.6348,295.11,82,94,2.13,TH,1674088502
85,dikson,73.5069,80.5464,243.2,83,100,2.62,RU,1674088705
86,madaoua,14.073,5.96,291.18,21,0,4.39,NE,1674088706
87,leningradskiy,69.3833,178.4167,243.84,98,100,10.44,RU,1674088707
88,acarau,-2.8856,-40.12,298.45,84,100,4.68,BR,1674088708
89,tasiilaq,65.6145,-37.6368,259.24,81,100,1.89,GL,1674088709
90,kodiak,57.79,-152.4072,270.88,80,100,1.54,US,1674088710
91,sinazongwe,-17.2614,27.4618,295.65,90,100,1.71,ZM,1674088711
92,yellowknife,62.456,-114.3525,267.44,100,100,4.63,CA,1674088712
93,codrington,-38.2667,141.9667,290.04,45,34,7.08,AU,1674088714
94,sri aman,1.2376,111.4621,298.2,94,20,0.0,MY,1674088715
95,mahebourg,-20.4081,57.7,298.85,100,75,7.2,MU,1674088716
96,lebedinyy,58.5167,125.5167,225.15,99,100,1.12,RU,1674088717
97,bambous virieux,-20.3428,57.7575,298.83,100,75,7.2,MU,1674088718
98,hamilton,39.1834,-84.5333,280.34,88,100,3.09,US,1674088443
99,cidreira,-30.1811,-50.2056,296.65,90,100,6.22,BR,1674088720
100,sitka,57.0531,-135.33,277.09,81,100,4.63,US,1674088470
101,mar del plata,-38.0023,-57.5575,295.34,93,75,6.71,AR,1674088556
102,caloundra,-26.8,153.1333,300.87,63,0,1.34,AU,1674088722
103,clyde river,70.4692,-68.5914,243.28,76,100,3.09,CA,1674088723
104,petropavlovsk-kamchatskiy,53.0452,158.6483,262.48,62,75,9.0,RU,1674088724
105,severo-kurilsk,50.6789,156.125,264.17,63,100,12.63,RU,1674088725
106,vung tau,10.346,107.0843,298.51,74,100,1.91,VN,1674088726
107,crib point,-38.35,145.2,292.19,54,64,7.21,AU,1674088727
108,revda,56.801,59.9303,261.47,72,97,3.11,RU,1674088727
109,flinders,-34.5833,150.8552,290.96,83,100,7.28,AU,1674088475
110,nikitinskiy,54.5845,86.0115,259.38,95,100,5.06,RU,1674088730
111,kavieng,-2.5744,150.7967,302.39,69,26,4.62,PG,1674088696
112,singaraja,-8.112,115.0882,300.68,78,100,0.98,ID,1674088731
113,meulaboh,4.1363,96.1285,296.35,79,100,1.85,ID,1674088732
114,te anau,-45.4167,167.7167,298.16,32,9,2.35,NZ,1674088539
115,ostrovnoy,68.0531,39.5131,271.43,88,100,6.53,RU,1674088467
116,bidor,4.1139,101.2884,296.99,80,100,1.03,MY,1674088734
117,znamenskoye,57.1281,73.8282,259.96,97,81,2.74,RU,1674088735
118,aripuana,-9.1667,-60.6333,294.7,98,100,0.49,BR,1674088736
119,lorengau,-2.0226,147.2712,301.37,77,76,3.83,PG,1674088737
120,east london,-33.0153,27.9116,297.58,82,99,1.18,ZA,1674088738
121,saskylakh,71.9167,114.0833,235.02,100,40,0.58,RU,1674088739
122,gobabis,-22.45,18.9667,294.14,65,96,2.73,NA,1674088740
123,ankang,32.68,109.0172,276.8,45,100,0.28,CN,1674088740
124,serenje,-13.2325,30.2352,288.74,97,97,1.23,ZM,1674088742
125,souillac,-20.5167,57.5167,298.36,100,75,7.2,MU,1674088742
126,bandarbeyla,9.4942,50.8122,296.77,74,37,7.93,SO,1674088744
127,chilca,-12.5211,-76.7372,294.18,81,100,2.4,PE,1674088745
128,port elizabeth,-33.918,25.5701,297.77,81,0,4.12,ZA,1674088746
129,ilulissat,69.2167,-51.1,238.46,66,0,2.45,GL,1674088747
130,padang,-0.9492,100.3543,296.18,85,100,1.38,ID,1674088748
131,nhulunbuy,-12.2333,136.7667,299.49,83,0,3.09,AU,1674088749
132,buala,-8.145,159.5921,302.52,73,100,5.03,SB,1674088750
133,juba,4.8517,31.5825,296.93,34,17,1.17,SS,1674088751
134,jiayuguan,39.8167,98.3,258.86,67,78,2.32,CN,1674088752
135,batemans bay,-35.7167,150.1833,292.65,70,100,3.01,AU,1674088551
136,mount isa,-20.7333,139.5,305.02,40,0,4.63,AU,1674088754
137,tuatapere,-46.1333,167.6833,297.51,41,21,0.81,NZ,1674088755
138,bathsheba,13.2167,-59.5167,298.49,73,20,7.2,BB,1674088756
139,tiksi,71.6872,128.8694,239.08,100,95,0.11,RU,1674088757
140,alta floresta,-9.8756,-56.0861,294.0,96,56,1.39,BR,1674088758
141,kemijarvi,66.7131,27.4306,272.25,93,100,3.96,FI,1674088759
142,aykhal,66.0,111.5,228.66,100,59,1.05,RU,1674088760
143,walvis bay,-22.9575,14.5053,291.68,94,90,1.54,NA,1674088761
144,roald,62.5833,6.1333,276.67,75,40,4.63,NO,1674088762
145,brigantine,39.4101,-74.3646,282.26,67,0,7.2,US,1674088763
146,vila velha,-20.3297,-40.2925,299.23,83,75,2.57,BR,1674088764
147,upernavik,72.7868,-56.1549,245.36,74,100,2.0,GL,1674088766
148,hasaki,35.7333,140.8333,279.94,58,100,7.49,JP,1674088767
149,sao joao da barra,-21.6403,-41.0511,298.2,88,1,4.72,BR,1674088538
150,arlit,18.7369,7.3853,289.42,11,44,2.52,NE,1674088769
151,bartica,6.4,-58.6167,297.33,98,4,1.33,GY,1674088770
152,tamandare,-8.7597,-35.1047,298.15,85,39,3.12,BR,1674088771
153,athens,37.9795,23.7162,290.03,77,20,4.47,GR,1674088771
154,saint-pierre,-21.3393,55.4781,297.97,88,75,2.06,RE,1674088772
155,bengkulu,-3.8004,102.2655,298.09,85,98,1.8,ID,1674088775
156,mecca,21.4267,39.8261,295.03,44,18,1.48,SA,1674088608
157,lujan,-34.5703,-59.105,299.29,69,100,0.89,AR,1674088530
158,biak,-0.9131,122.8766,299.78,72,100,1.2,ID,1674088777
159,porto seguro,-16.4497,-39.0647,299.44,78,20,3.09,BR,1674088777
160,anshun,26.25,105.9333,273.66,82,100,3.1,CN,1674088778
161,aden,12.7794,45.0367,297.32,71,5,3.86,YE,1674088779
162,bambanglipuro,-7.95,110.2833,299.05,80,100,1.4,ID,1674088780
163,cairns,-16.9167,145.7667,300.12,78,100,4.63,AU,1674088782
164,kodinsk,58.6881,99.1844,228.76,100,98,1.37,RU,1674088782
165,bakel,14.905,-12.4568,297.33,14,2,4.31,SN,1674088783
166,pevek,69.7008,170.3133,239.9,100,100,3.43,RU,1674088721
167,musoma,-1.5,33.8,294.16,83,75,0.0,TZ,1674088785
168,olga,43.7444,135.2892,264.35,65,100,1.1,RU,1674088786
169,gondanglegi,-7.7479,112.0132,299.71,79,100,2.04,ID,1674088787
170,margate,51.3813,1.3862,275.76,85,9,1.79,GB,1674088758
171,talnakh,69.4865,88.3972,239.67,82,87,1.75,RU,1674088788
172,saint-philippe,-21.3585,55.7679,297.92,88,94,5.76,RE,1674088789
173,fortuna,40.5982,-124.1573,280.74,96,75,1.54,US,1674088790
174,tomatlan,19.9333,-105.25,292.46,77,12,1.45,MX,1674088791
175,kavaratti,10.5669,72.642,299.91,73,55,4.56,IN,1674088527
176,ancud,-41.8697,-73.8203,287.31,82,9,1.31,CL,1674088792
177,eyl,7.9803,49.8164,295.91,78,15,7.26,SO,1674088793
178,barentu,15.1139,37.5928,290.47,77,0,1.92,ER,1674088794
179,takehara,34.3383,132.9167,278.17,87,40,0.51,JP,1674088795
180,severnyy,50.677,36.5532,275.17,100,100,7.0,RU,1674088796
181,balakhta,55.38,91.6,257.59,97,100,1.55,RU,1674088798
182,lendava,46.5649,16.4509,277.57,87,100,6.1,SI,1674088798
183,khatanga,71.9667,102.5,237.34,99,18,3.0,RU,1674088703
184,beyneu,45.3167,55.2,268.99,67,0,4.46,KZ,1674088800
185,omboue,-1.5746,9.2618,298.72,83,97,2.36,GA,1674088801
186,gamba,-2.65,10.0,298.39,83,100,0.69,GA,1674088802
187,belmonte,-15.8631,-38.8828,297.39,86,29,1.5,BR,1674088803
188,sioux lookout,50.1001,-91.917,263.19,92,100,1.54,CA,1674088803
189,smithers,54.7804,-127.1743,276.33,52,20,1.03,CA,1674088804
190,asyut,27.181,31.1837,283.25,41,0,1.46,EG,1674088805
191,aksha,50.2814,113.2867,248.69,69,96,7.61,RU,1674088806
192,geraldton,-28.7667,114.6,307.38,31,0,7.72,AU,1674088807
193,tiznit,29.5833,-9.5,283.88,77,0,1.32,MA,1674088808
194,sambava,-14.2667,50.1667,298.45,93,100,14.31,MG,1674088809
195,yatou,37.15,122.3833,275.85,56,19,4.12,CN,1674088810
196,doha,25.2867,51.5333,289.14,63,0,6.17,QA,1674088811
197,kruisfontein,-34.0033,24.7314,296.93,67,13,3.77,ZA,1674088812
198,martinis,46.2333,25.3833,279.1,85,13,2.98,RO,1674088813
199,gimli,50.6336,-96.9907,263.16,92,44,2.57,CA,1674088808
200,hofn,64.2539,-15.2082,270.84,63,68,11.03,IS,1674088815
201,qaqortoq,60.7167,-46.0333,270.09,85,100,3.33,GL,1674088816
202,bugulma,54.55,52.8,255.23,79,21,2.25,RU,1674088816
203,ndele,8.4109,20.6473,294.97,26,5,2.05,CF,1674088817
204,victoria,22.2855,114.1577,288.84,75,0,4.47,HK,1674088560
205,ambatondrazaka,-17.8333,48.4167,292.84,89,100,5.9,MG,1674088819
206,qena,26.1615,32.7183,286.24,54,0,1.4,EG,1674088820
207,pacific grove,36.6177,-121.9166,285.38,76,0,3.09,US,1674088820
208,longyearbyen,78.2186,15.6401,261.06,72,0,4.12,SJ,1674088821
209,hohhot,40.8106,111.6522,262.31,62,0,6.0,CN,1674088822
210,shakiso,5.75,38.9167,285.04,49,20,2.09,ET,1674088823
211,carnarvon,-24.8667,113.6333,303.5,52,1,5.19,AU,1674088824
212,hay river,60.8156,-115.7999,263.14,92,100,2.57,CA,1674088825
213,dingle,10.9995,122.6711,299.31,88,76,6.57,PH,1674088826
214,zhuhai,22.2769,113.5678,287.03,66,0,5.14,CN,1674088826
215,marzuq,14.4,46.4667,286.68,63,7,1.7,YE,1674088827
216,ha tinh,18.3333,105.9,287.07,86,100,2.52,VN,1674088814
217,sisimiut,66.9395,-53.6735,253.69,63,100,4.69,GL,1674088829
218,anadyr,64.75,177.4833,245.43,76,40,4.0,RU,1674088830
219,faya,18.3851,42.4509,283.21,63,3,1.57,SA,1674088546
220,bilma,18.6853,12.9164,289.01,21,6,1.76,NE,1674088831
221,raga,8.4596,25.678,293.47,27,6,2.24,SS,1674088833
222,colares,38.7992,-9.4469,283.33,73,97,10.28,PT,1674088834
223,vao,-22.6667,167.4833,297.13,71,98,10.5,NC,1674088706
224,karlstad,59.3793,13.5036,274.46,100,100,4.63,SE,1674088836
225,san cristobal,7.7669,-72.225,295.25,82,14,0.54,VE,1674088756
226,glendive,47.1053,-104.7125,272.94,96,100,3.6,US,1674088686
227,teeli,51.0333,90.2333,254.72,82,95,1.46,RU,1674088838
228,buchanan,5.8808,-10.0467,298.92,88,79,1.47,LR,1674088839
229,namibe,-15.1961,12.1522,296.31,73,100,2.48,AO,1674088840
230,puerto carreno,6.189,-67.4859,299.86,48,6,3.06,CO,1674088840
231,avera,33.194,-82.5271,291.14,88,100,2.91,US,1674088841
232,concordia,-31.393,-58.0209,303.36,32,100,3.57,AR,1674088686
233,katherine,-14.4667,132.2667,300.33,83,100,3.09,AU,1674088842
234,naze,28.3667,129.4833,284.66,60,93,3.7,JP,1674088843
235,kondagaon,19.6,81.6667,285.87,84,0,0.62,IN,1674088844
236,hanko,59.8333,22.95,274.29,98,100,5.65,FI,1674088844
237,antalaha,-14.9003,50.2788,298.04,89,100,9.12,MG,1674088845
238,lagoa,39.05,-27.9833,286.31,69,1,2.24,PT,1674088846
239,gazanjyk,39.2446,55.5154,270.55,67,89,3.45,TM,1674088847
240,vardo,70.3705,31.1107,273.14,86,100,11.32,NO,1674088573
241,cockburn town,21.4612,-71.1419,297.13,57,20,3.6,TC,1674088848
242,isangel,-19.55,169.2667,300.21,83,100,5.14,VU,1674088849
243,santiago,-33.4569,-70.6483,301.23,39,0,5.14,CL,1674088553
244,narsaq,60.9167,-46.05,275.27,88,100,3.75,GL,1674088851
245,straumen,63.8709,11.2999,268.15,92,97,1.98,NO,1674088852
246,coswig,51.1333,13.5833,271.48,93,0,2.57,DE,1674088853
247,leon,21.1167,-101.6667,296.18,18,91,2.33,MX,1674088731
248,nivala,63.9167,24.9667,272.97,85,100,3.34,FI,1674088854
249,guerrero negro,27.9769,-114.0611,287.98,55,100,4.81,MX,1674088855
250,quelimane,-17.8786,36.8883,298.12,94,20,1.54,MZ,1674088856
251,la plata,-34.9215,-57.9545,298.17,74,99,7.11,AR,1674088857
252,srednekolymsk,67.45,153.6833,239.51,99,100,2.22,RU,1674088858
253,asosa,10.0667,34.5333,292.43,48,100,2.58,ET,1674088858
254,washougal,45.5826,-122.3534,279.69,94,100,2.68,US,1674088808
255,bima,-8.4667,118.7167,300.93,80,100,0.81,ID,1674088860
256,chapulhuacan,21.1667,-98.9,292.8,47,97,1.23,MX,1674088862
257,kokoda,-8.8785,147.7407,300.87,75,100,0.81,PG,1674088864
258,port macquarie,-31.4333,152.9167,303.09,62,97,4.21,AU,1674088865
259,parit buntar,5.1267,100.4932,298.15,83,38,1.36,MY,1674088866
260,pisco,-13.7,-76.2167,295.18,88,100,3.09,PE,1674088867
